Organization Name,2019-20 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2) [Updated with attendance from 2/2/20],"""Eligibility Status for Spring 2020 Re-Registration 
(begins Jan. 6, 2020)""",Group's Registration Progress,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
Green Party at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/greenwolverine,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Green Wolverine,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/greenyoga,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Green Yoga,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/GroTechatBerkeley,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
GroTech @ Berkeley,Approved,5,5,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/groundupjournal,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Ground Up Journal,Approved,4,2,Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/GroundUpTheater,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Ground Up Theater,Not Started,0,0,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/grupofolkloricoreflejosdemexico,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Grupo Folklorico Reflejos de Mexico,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gsppartclub,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
GSPP Art Club,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gagsppenvironmentalpolicygroup,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
GSPP Environmental Policy Group,Inprogress,4,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/GAGSPPPC,LEAD Center Category: Environmental & Sustainability RSO -  Advised by Sharon Daraphonhdeth
GSPP Progressive Caucus,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/GCB,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Guitar Club of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gujaratistudentassociation,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Gujarati Student Association,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/GVPP,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Gun Violence Prevention Project,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gagunsinpublicpolicy,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Guns in Public Policy,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gutenbergthe,LEAD Center Category: Political & Advocacy RSO - Advised by Millicent Morris Chaney
"Gutenberg, The",Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/haasbusinessschoolassociation,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Haas Business School Association,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/haasundergraduateblackbusinessassociation,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Haas Undergraduate Black Business Association,Approved,9,4,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/haathmeinsehat,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Haath Mein Sehat,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/calhacks,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Hack the Bay,Approved,7,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hab,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Hackers@Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/hansori,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Han Sori at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/handsandfeet,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Hands and Feet,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/happyneighbors,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Happy Neighbors,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/happyperiod,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Happy Period at Berkeley,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gahvic,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Haptics and Visual Impairment Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/hardboiled,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
hardboiled,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/harvestberkeley,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Harvest Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/heintendsvictory,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
He Intends Victory at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/healingartscollective,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Healing Arts Collective,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/healthactionprogram,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Health Action Program,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ha_berkeley,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Health Advocates of AHS at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/hmap,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Health and Medical Apprenticeship Program,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/HealthCoaching,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Health Coaching at Berkeley,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hcc,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Health Coaching Collaborative,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/healthguardians,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Health Guardians of Berkeley,Approved,4,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/healthhacksatberkeley,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Health Hacks at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/healthinallpolicies,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Health in All Policies,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/HealthLawInitiative,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Health Law Initiative,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/healthleadsatberkeley,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Health Leads at Berkeley,Approved,5,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gahealthservicesandpolicyanalysisdoctoralgroup,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Health Services & Policy Analysis Doctoral Group,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/HealthSolutionsofBerkeley,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Health Solutions of Berkeley,Approved,6,6,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hbls,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Healthcare & Biotech Law Society [Formerly Boalt Healthcare & Biotech Law Society],Approved,6,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/HealthcareBusinessAssociationBerkeley,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Healthcare Business Association at Berkeley,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/HCGatBerkeley,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Healthcare Consulting Group at Berkeley,Approved,5,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/healthyhabits,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Healthy Habits,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/heartchanatberkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Heart Chan at Berkeley,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/heartfulnessatberkeley,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Heartfulness at Berkeley,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/helix,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Helix @ Berkeley,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gahellenicstudentassociationatberkeley,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Hellenic Student Association at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hepbproject,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Hep B Project,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hercampusofberkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Her Campus of Berkeley,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hermanasunidas,LEAD Center Category: Media RSO - Advised by Deepak Sharma
Hermanas Unidas de UC Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hermanosunidos,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Hermanos Unidos,Approved,8,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/heuristicsquelch,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
"Heuristic Squelch, The",Approved,6,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hiddenroadinitiative,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Hidden Road Initiative,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/berkeleyhillel,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Hillel Student Board at Berkeley,Approved,6,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hindustudentscouncil,LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
Hindu Students Council,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/hinduyuva-youthforunityvirtuesandaction,"LEAD Center Category: Cultural & Identity/International RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
"Hindu YUVA-Youth for Unity, Virtues and Action",Inprogress,5,2,Not Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/hippiesforhope,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Hippies For Hope,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/hispanicengineersscientists,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Hispanic Engineers and Scientists,Approved,4,2,Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/HSFatCal,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
"Hispanic Scholarship Fund - University of California, Berkeley Chapter ",Approved,1,1,,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/historicalfencing,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Historical Fencing Club of Berkeley,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/historygraduateassociation,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
History Graduate Association,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gahistoryofarchitectureandurbanismassociation,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
History of Architecture and Urbanism Association,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/historyofartcommunityactiongroup,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
History of Art Community Action Group,Not Started,0,0,,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/hmongstudentassn,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Hmong Student Association at Berkeley,Approved,5,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hos,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Home of Students Christian Fellowship,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/homegroupfellowship,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Homegroup Fellowship,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gahomelessministryatberkeley,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Homeless Ministry at Berkeley,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/HomelessStudentUnion,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Homeless Student Union,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/homelessnessserviceproject,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Homelessness Service Project,Approved,4,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/homeschoolers,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Homeschoolers at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/hkaaberk,"LEAD Center Category: Cultural & Identity/International RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Hong Kong Affairs Association of Berkeley,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/hongkongstudentassociation,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Hong Kong Student Association,Approved,7,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/HopeinMotion,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Hope in Motion,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/HOSAatBerkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
HOSA at Berkeley: Health Occupations Students of America,Inprogress,2,0,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/householdenergy,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Household Energy IdeaLab,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/lit,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
How to Get Lit,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/HubforEquityandAdministrativeRepresentation,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
Hub for Equity and Administrative Representation,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/studentshumanresourceassociation,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Human Capital Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/Human_Genetics_Discussion_Project,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Human Genetics Discussion Project,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/HumanPoweredVehicle,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Human Powered Vehicle,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/HRLSA,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Human Rights Law Student Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/hri,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Human Rights of the Incarcerated Coalition,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/therightsstuff,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Human Rights Review at Berkeley,Approved,5,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/humanitarianundergraduesforglobalservice,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Humanitarian Undergradutes for Global Service,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/humanityfirstatberkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Humanity First at Berkeley,Not Started,4,2,,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/humansofberkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Humans of Berkeley,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/HungryBears,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
Hungry Bears,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/hyperloop,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Hyperloop Initiative Program,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/IAmAsian-PacificIslander,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
I Am Asian-Pacific Islander,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/igo,"LEAD Center Category: Cultural & Identity/International RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
i GO,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/iwillrideatberkeley,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
I Will Ride at Berkeley,Not Started,0,0,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/impactalliance,LEAD Center Category: Professional Organization - Advised by Deepak Sharma
I.M.P.A.C.T. Alliance,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/iastpstudentrepresentativecouncil,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
IAS Student Representative Council,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/IDEAFactory,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
IDEA Factory,Approved,8,2,Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ideal,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
IDEAL,Not Started,0,0,,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/TheIdealistJournal,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
"Idealist Journal, The",Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/igenspectrum,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Identity and Gender Spectrum,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/identityxdance,LEAD Center Category: Cultural & Identity/LGBTQ+ RSO -  Advised by Anthony Garrison-Engbrecht [Interim]
Identity X,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ieeepowerenergy,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
IEEE Power and Energy at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ieee,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
IEEE Student Branch,Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/IEOR-GSG,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
IEOR Graduate Student Group (formerly Student INFORMS),Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gaieorsocialclub,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
IEOR Social Club,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/IfWhenHowLawyeringforReproductiveJustice,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
If/When/How: Lawyering for Reproductive Justice at Berkeley,Approved,4,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/igematberkeley,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
iGEM at Berkeley,Approved,5,6,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/IgniteMinistries,LEAD Center Category: Academic/Tech- Deepak Sharma
Ignite Ministries,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/iHEART,LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
"iHeart (international Health, Education, Advocacy, Research, and Training)",Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/illuminateatberkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Illuminate at Berkeley,Not Started,0,0,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/gaipsi,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
"Illustrious Policy Student Instructors, The",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/imaginarium,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
